N 	 time 
1815 	0.000092 
1825 	0.000092 
1835 	0.000093 
1845 	0.000140 
1855 	0.000095 
1865 	0.000095 
1875 	0.000095 
1885 	0.000097 
1895 	0.000126 
1905 	0.000096 
1915 	0.000098 
1925 	0.000097 
1935 	0.000098 
1945 	0.000100 
1955 	0.000099 
1965 	0.000100 
1975 	0.000100 
1985 	0.000101 
1995 	0.000100 
2005 	0.000102 
2015 	0.000101 
2025 	0.000103 
2035 	0.000102 
2045 	0.000103 
2055 	0.000103 
2065 	0.000104 
2075 	0.000104 
2085 	0.000104 
2095 	0.000106 
2105 	0.000107 
2115 	0.000108 
2125 	0.000196 
2135 	0.000124 
2145 	0.000109 
2155 	0.000108 
2165 	0.000110 
2175 	0.000110 
2185 	0.000108 
2195 	0.000110 
2205 	0.000113 
2215 	0.000114 
2225 	0.000113 
2235 	0.000114 
2245 	0.000114 
2255 	0.000114 
2265 	0.000116 
2275 	0.000152 
2285 	0.000139 
2295 	0.000117 
2305 	0.000121 
2315 	0.000120 
2325 	0.000121 
2335 	0.000120 
2345 	0.000121 
2355 	0.000122 
2365 	0.000122 
2375 	0.000236 
2385 	0.000122 
2395 	0.000125 
2405 	0.000124 
2415 	0.000123 
2425 	0.000125 
2435 	0.000140 
2445 	0.000126 
2455 	0.000127 
2465 	0.000128 
2475 	0.000128 
2485 	0.000127 
2495 	0.000130 
2505 	0.000130 
2515 	0.000130 
2525 	0.000132 
2535 	0.000131 
2545 	0.000132 
2555 	0.000133 
2565 	0.000132 
2575 	0.000134 
2585 	0.000134 
2595 	0.000134 
2605 	0.000133 
2615 	0.000135 
2625 	0.000136 
2635 	0.000136 
2645 	0.000138 
2655 	0.000138 
2665 	0.000138 
2675 	0.000139 
2685 	0.000139 
2695 	0.000194 
2705 	0.000138 
2715 	0.000191 
2725 	0.000230 
2735 	0.000217 
2745 	0.000217 
2755 	0.000217 
2765 	0.000220 
2775 	0.000220 
2785 	0.000221 
2795 	0.000221 
2805 	0.000229 
2815 	0.000220 
2825 	0.000216 
2835 	0.000213 
2845 	0.000215 
2855 	0.000216 
2865 	0.000221 
2875 	0.000223 
2885 	0.000293 
2895 	0.000147 
2905 	0.000162 
2915 	0.000147 
2925 	0.000146 
2935 	0.000290 
2945 	0.000149 
2955 	0.000177 
2965 	0.000151 
2975 	0.000161 
2985 	0.000155 
2995 	0.000158 
3005 	0.000155 
3015 	0.000156 
3025 	0.000157 
3035 	0.000159 
3045 	0.000158 
3055 	0.000157 
3065 	0.000159 
3075 	0.000187 
3085 	0.000170 
3095 	0.000162 
3105 	0.000162 
3115 	0.000161 
3125 	0.000160 
3135 	0.000164 
3145 	0.000179 
3155 	0.000165 
3165 	0.000174 
3175 	0.000165 
3185 	0.000165 
3195 	0.000167 
3205 	0.000166 
3215 	0.000169 
3225 	0.000169 
3235 	0.000169 
3245 	0.000168 
3255 	0.000170 
3265 	0.000170 
3275 	0.000172 
3285 	0.000172 
3295 	0.000172 
3305 	0.000169 
3315 	0.000173 
3325 	0.000174 
3335 	0.000175 
3345 	0.000175 
3355 	0.000176 
3365 	0.000175 
3375 	0.000191 
3385 	0.000176 
3395 	0.000178 
3405 	0.000178 
3415 	0.000179 
3425 	0.000180 
3435 	0.000181 
3445 	0.000179 
3455 	0.000181 
3465 	0.000179 
3475 	0.000180 
3485 	0.000182 
3495 	0.000183 
3505 	0.000182 
3515 	0.000182 
3525 	0.000185 
3535 	0.000185 
3545 	0.000187 
3555 	0.000186 
3565 	0.000187 
3575 	0.000186 
3585 	0.000187 
3595 	0.000193 
3605 	0.000217 
3615 	0.000188 
3625 	0.000189 
3635 	0.000187 
3645 	0.000191 
3655 	0.000190 
3665 	0.000192 
3675 	0.000192 
3685 	0.000192 
3695 	0.000193 
3705 	0.000192 
3715 	0.000194 
3725 	0.000195 
3735 	0.000196 
3745 	0.000195 
3755 	0.000197 
3765 	0.000195 
3775 	0.000195 
3785 	0.000193 
3795 	0.000223 
3805 	0.000196 
3815 	0.000196 
3825 	0.000231 
3835 	0.000198 
3845 	0.000198 
3855 	0.000200 
3865 	0.000200 
3875 	0.000202 
3885 	0.000203 
3895 	0.000201 
3905 	0.000205 
3915 	0.000205 
3925 	0.000206 
3935 	0.000251 
3945 	0.000205 
3955 	0.000206 
3965 	0.000206 
3975 	0.000208 
3985 	0.000223 
3995 	0.000209 
4005 	0.000206 
4015 	0.000208 
4025 	0.000209 
4035 	0.000209 
4045 	0.000211 
4055 	0.000213 
4065 	0.000210 
4075 	0.000210 
4085 	0.000215 
4095 	0.000212 
4105 	0.000215 
4115 	0.000215 
4125 	0.000217 
4135 	0.000217 
4145 	0.000216 
4155 	0.000216 
4165 	0.000219 
4175 	0.000224 
4185 	0.000230 
4195 	0.000223 
4205 	0.000220 
4215 	0.000221 
4225 	0.000222 
4235 	0.000223 
4245 	0.000224 
4255 	0.000224 
4265 	0.000225 
4275 	0.000225 
4285 	0.000227 
4295 	0.000228 
4305 	0.000226 
4315 	0.000225 
4325 	0.000225 
4335 	0.000228 
4345 	0.000228 
4355 	0.000242 
4365 	0.000230 
4375 	0.000231 
4385 	0.000230 
4395 	0.000281 
4405 	0.000231 
4415 	0.000235 
4425 	0.000235 
4435 	0.000235 
4445 	0.000235 
4455 	0.000233 
4465 	0.000233 
4475 	0.000236 
4485 	0.000236 
4495 	0.000238 
4505 	0.000239 
4515 	0.000246 
4525 	0.000239 
4535 	0.000238 
4545 	0.000239 
4555 	0.000241 
4565 	0.000238 
4575 	0.000239 
4585 	0.000243 
4595 	0.000242 
4605 	0.000243 
4615 	0.000243 
4625 	0.000243 
4635 	0.000243 
4645 	0.000243 
4655 	0.000245 
4665 	0.000245 
4675 	0.000246 
4685 	0.000264 
4695 	0.000249 
4705 	0.000247 
4715 	0.000246 
4725 	0.000249 
4735 	0.000250 
4745 	0.000250 
4755 	0.000250 
4765 	0.000251 
4775 	0.000249 
4785 	0.000253 
4795 	0.000253 
4805 	0.000254 
4815 	0.000251 
4825 	0.000255 
4835 	0.000253 
4845 	0.000260 
4855 	0.000255 
4865 	0.000257 
4875 	0.000257 
4885 	0.000259 
4895 	0.000257 
4905 	0.000256 
4915 	0.000259 
4925 	0.000260 
4935 	0.000261 
4945 	0.000262 
4955 	0.000261 
4965 	0.000261 
4975 	0.000261 
4985 	0.000260 
4995 	0.000268 
5005 	0.000267 
5015 	0.000264 
5025 	0.000263 
5035 	0.000265 
5045 	0.000266 
5055 	0.000290 
5065 	0.000266 
5075 	0.000268 
5085 	0.000268 
5095 	0.000268 
5105 	0.000262 
5115 	0.000268 
5125 	0.000271 
5135 	0.000272 
5145 	0.000305 
5155 	0.000274 
5165 	0.000272 
5175 	0.000269 
5185 	0.000270 
5195 	0.000275 
5205 	0.000282 
5215 	0.000274 
5225 	0.000275 
5235 	0.000277 
5245 	0.000278 
5255 	0.000277 
5265 	0.000280 
5275 	0.000279 
5285 	0.000287 
5295 	0.000278 
5305 	0.000277 
5315 	0.000279 
5325 	0.000281 
5335 	0.000281 
5345 	0.000281 
5355 	0.000279 
5365 	0.000284 
5375 	0.000283 
5385 	0.000284 
5395 	0.000286 
5405 	0.000286 
5415 	0.000288 
5425 	0.000297 
5435 	0.000284 
5445 	0.000286 
5455 	0.000288 
5465 	0.000290 
5475 	0.000288 
5485 	0.000286 
5495 	0.000290 
5505 	0.000290 
5515 	0.000291 
5525 	0.000293 
5535 	0.000292 
5545 	0.000291 
5555 	0.000293 
5565 	0.000299 
5575 	0.000296 
5585 	0.000295 
5595 	0.000296 
5605 	0.000295 
5615 	0.000295 
5625 	0.000297 
5635 	0.000317 
5645 	0.000299 
5655 	0.000299 
5665 	0.000300 
5675 	0.000300 
5685 	0.000302 
5695 	0.000305 
5705 	0.000301 
5715 	0.000304 
5725 	0.000303 
5735 	0.000304 
5745 	0.000301 
5755 	0.000303 
5765 	0.000307 
5775 	0.000305 
5785 	0.000305 
5795 	0.000305 
5805 	0.000304 
5815 	0.000307 
5825 	0.000321 
5835 	0.000308 
5845 	0.000309 
5855 	0.000307 
5865 	0.000307 
5875 	0.000308 
5885 	0.000312 
5895 	0.000311 
5905 	0.000313 
5915 	0.000311 
5925 	0.000313 
5935 	0.000315 
5945 	0.000312 
5955 	0.000319 
5965 	0.000314 
5975 	0.000315 
5985 	0.000314 
5995 	0.000315 
6005 	0.000318 
6015 	0.000317 
6025 	0.000318 
6035 	0.000319 
6045 	0.000319 
6055 	0.000320 
6065 	0.000320 
6075 	0.000319 
6085 	0.000327 
6095 	0.000322 
6105 	0.000322 
6115 	0.000319 
6125 	0.000426 
6135 	0.000694 
6145 	0.000317 
6155 	0.000350 
6165 	0.000314 
6175 	0.000323 
6185 	0.000344 
6195 	0.000327 
6205 	0.000326 
6215 	0.000328 
6225 	0.000326 
6235 	0.000341 
6245 	0.000329 
6255 	0.000329 
6265 	0.000332 
6275 	0.000331 
6285 	0.000332 
6295 	0.000333 
6305 	0.000338 
6315 	0.000332 
6325 	0.000332 
6335 	0.000335 
6345 	0.000336 
6355 	0.000337 
6365 	0.000336 
6375 	0.000337 
6385 	0.000336 
6395 	0.000337 
6405 	0.000338 
6415 	0.000339 
6425 	0.000357 
6435 	0.000339 
6445 	0.000338 
6455 	0.000342 
6465 	0.000338 
6475 	0.000342 
6485 	0.000342 
6495 	0.000341 
6505 	0.000342 
6515 	0.000343 
6525 	0.000343 
6535 	0.000343 
6545 	0.000350 
6555 	0.000347 
6565 	0.000347 
6575 	0.000345 
6585 	0.000345 
6595 	0.000348 
6605 	0.000349 
6615 	0.000348 
6625 	0.000349 
6635 	0.000350 
6645 	0.000378 
6655 	0.000363 
6665 	0.000353 
6675 	0.000353 
6685 	0.000352 
6695 	0.000351 
6705 	0.000352 
6715 	0.000355 
6725 	0.000357 
6735 	0.000358 
6745 	0.000357 
6755 	0.000356 
6765 	0.000354 
6775 	0.000367 
6785 	0.000358 
6795 	0.000359 
6805 	0.000361 
6815 	0.000361 
6825 	0.000359 
6835 	0.000361 
6845 	0.000361 
6855 	0.000364 
6865 	0.000364 
6875 	0.000365 
6885 	0.000368 
6895 	0.000361 
6905 	0.000362 
6915 	0.000364 
6925 	0.000366 
6935 	0.000368 
6945 	0.000366 
6955 	0.000365 
6965 	0.000367 
6975 	0.000368 
6985 	0.000382 
6995 	0.000374 
7005 	0.000374 
7015 	0.000442 
7025 	0.000370 
7035 	0.000443 
7045 	0.000373 
7055 	0.000373 
7065 	0.000446 
7075 	0.000371 
7085 	0.000451 
7095 	0.000393 
7105 	0.000373 
7115 	0.000452 
7125 	0.000376 
7135 	0.000448 
7145 	0.000375 
7155 	0.000379 
7165 	0.000455 
7175 	0.000381 
7185 	0.000463 
7195 	0.000381 
7205 	0.000456 
7215 	0.000381 
7225 	0.000379 
7235 	0.000455 
7245 	0.000382 
7255 	0.000389 
7265 	0.000459 
7275 	0.000381 
7285 	0.000463 
7295 	0.000385 
7305 	0.000462 
7315 	0.000388 
7325 	0.000389 
7335 	0.000463 
7345 	0.000386 
7355 	0.000464 
7365 	0.000390 
7375 	0.000476 
7385 	0.000389 
7395 	0.000391 
7405 	0.000464 
7415 	0.000388 
7425 	0.000468 
7435 	0.000396 
7445 	0.000464 
7455 	0.000394 
7465 	0.000393 
7475 	0.000477 
7485 	0.000396 
7495 	0.000494 
7505 	0.000398 
7515 	0.000470 
7525 	0.000395 
7535 	0.000394 
7545 	0.000470 
7555 	0.000398 
7565 	0.000477 
7575 	0.000399 
7585 	0.000474 
7595 	0.000397 
7605 	0.000401 
7615 	0.000475 
7625 	0.000403 
7635 	0.000480 
7645 	0.000405 
7655 	0.000491 
7665 	0.000402 
7675 	0.000480 
7685 	0.000406 
7695 	0.000407 
7705 	0.000482 
7715 	0.000412 
7725 	0.000480 
7735 	0.000406 
7745 	0.000488 
7755 	0.000407 
7765 	0.000483 
7775 	0.000409 
7785 	0.000409 
7795 	0.000483 
7805 	0.000409 
7815 	0.000488 
7825 	0.000414 
7835 	0.000499 
7845 	0.000414 
7855 	0.000486 
7865 	0.000416 
7875 	0.000438 
7885 	0.000493 
7895 	0.000416 
7905 	0.000492 
7915 	0.000418 
7925 	0.000496 
7935 	0.000420 
7945 	0.000498 
7955 	0.000420 
7965 	0.000496 
7975 	0.000420 
7985 	0.000420 
7995 	0.000495 
8005 	0.000420 
8015 	0.000509 
8025 	0.000425 
8035 	0.000498 
8045 	0.000420 
8055 	0.000497 
8065 	0.000428 
8075 	0.000503 
8085 	0.000428 
8095 	0.000468 
8105 	0.000428 
8115 	0.000428 
8125 	0.000502 
8135 	0.000428 
8145 	0.000505 
8155 	0.000435 
8165 	0.000506 
8175 	0.000429 
8185 	0.000514 
8195 	0.000433 
8205 	0.000508 
8215 	0.000435 
8225 	0.000508 
8235 	0.000449 
8245 	0.000474 
8255 	0.000472 
8265 	0.000437 
8275 	0.000516 
8285 	0.000441 
8295 	0.000510 
8305 	0.000436 
8315 	0.000523 
8325 	0.000444 
8335 	0.000517 
8345 	0.000441 
8355 	0.000520 
8365 	0.000443 
8375 	0.000513 
8385 	0.000442 
8395 	0.000519 
8405 	0.000446 
8415 	0.000520 
8425 	0.000443 
8435 	0.000528 
8445 	0.000442 
8455 	0.000522 
8465 	0.000448 
8475 	0.000522 
8485 	0.000447 
8495 	0.000521 
8505 	0.000447 
8515 	0.000514 
8525 	0.000485 
8535 	0.000489 
8545 	0.000486 
8555 	0.000449 
8565 	0.000525 
8575 	0.000471 
8585 	0.000531 
8595 	0.000453 
8605 	0.000542 
8615 	0.000455 
8625 	0.000529 
8635 	0.000456 
8645 	0.000531 
8655 	0.000459 
8665 	0.000533 
8675 	0.000457 
8685 	0.000537 
8695 	0.000458 
8705 	0.000534 
8715 	0.000463 
8725 	0.000537 
8735 	0.000462 
8745 	0.000535 
8755 	0.000458 
8765 	0.000538 
8775 	0.000463 
8785 	0.000539 
8795 	0.000464 
8805 	0.000538 
8815 	0.000463 
8825 	0.000538 
8835 	0.000464 
8845 	0.000551 
8855 	0.000469 
8865 	0.000543 
8875 	0.000467 
8885 	0.000542 
8895 	0.000470 
8905 	0.000547 
8915 	0.000499 
8925 	0.000547 
8935 	0.000545 
8945 	0.000471 
8955 	0.000512 
8965 	0.000511 
8975 	0.000478 
8985 	0.000550 
8995 	0.000560 
9005 	0.000473 
9015 	0.000549 
9025 	0.000478 
9035 	0.000554 
9045 	0.000478 
9055 	0.000552 
9065 	0.000477 
9075 	0.000555 
9085 	0.000479 
9095 	0.000558 
9105 	0.000483 
9115 	0.000555 
9125 	0.000480 
9135 	0.000557 
9145 	0.000483 
9155 	0.000567 
9165 	0.000487 
9175 	0.000560 
9185 	0.000486 
9195 	0.000561 
9205 	0.000559 
9215 	0.000485 
9225 	0.000585 
9235 	0.000490 
9245 	0.000564 
9255 	0.000488 
9265 	0.000562 
9275 	0.000489 
9285 	0.000567 
9295 	0.000492 
9305 	0.000578 
9315 	0.000494 
9325 	0.000566 
9335 	0.000496 
9345 	0.000570 
9355 	0.000499 
9365 	0.000573 
9375 	0.000573 
9385 	0.000494 
9395 	0.000573 
9405 	0.000500 
9415 	0.000573 
9425 	0.000500 
9435 	0.000575 
9445 	0.000499 
9455 	0.000581 
9465 	0.000498 
9475 	0.000577 
9485 	0.000576 
9495 	0.000502 
9505 	0.000575 
9515 	0.000500 
9525 	0.000584 
9535 	0.000509 
9545 	0.000583 
9555 	0.000507 
9565 	0.000581 
9575 	0.000506 
9585 	0.000578 
9595 	0.000592 
9605 	0.000510 
9615 	0.000583 
9625 	0.000512 
9635 	0.000583 
9645 	0.000507 
9655 	0.000583 
9665 	0.000514 
9675 	0.000592 
9685 	0.000588 
9695 	0.000514 
9705 	0.000586 
9715 	0.000518 
9725 	0.000589 
9735 	0.000516 
9745 	0.000596 
9755 	0.000519 
9765 	0.000591 
9775 	0.000591 
9785 	0.000514 
9795 	0.000595 
9805 	0.000519 
9815 	0.000604 
9825 	0.000521 
9835 	0.000615 
9845 	0.000517 
9855 	0.000596 
9865 	0.000604 
9875 	0.000524 
9885 	0.000604 
9895 	0.000527 
9905 	0.000600 
9915 	0.000524 
9925 	0.000599 
9935 	0.000604 
9945 	0.000529 
9955 	0.000625 
9965 	0.000528 
9975 	0.000601 
9985 	0.000527 
9995 	0.000605 
